bin_id,bin_lower,bin_upper,n_bin,mean_pred,frac_positive,abs_gap,weighted_gap,year,time_gap,model,threshold
0,0.0,0.1,60877,0.07095522684278592,0.08147576260328203,0.010520535760496108,0.0017054202993844155,2015,1,logreg,0.1743370848987072
1,0.1,0.2,198060,0.15119753717039217,0.1760476623245481,0.02485012515415594,0.013105864809175314,2015,1,logreg,0.1743370848987072
2,0.2,0.30000000000000004,100620,0.2380588130455068,0.2944146292983502,0.056355816252843416,0.015099528499695387,2015,1,logreg,0.1743370848987072
3,0.30000000000000004,0.4,14824,0.33121676679028306,0.3934160820291419,0.062199315238858854,0.0024552252314670856,2015,1,logreg,0.1743370848987072
4,0.4,0.5,1034,0.43085803172832754,0.4506769825918762,0.01981895086354868,5.456843874845047e-05,2015,1,logreg,0.1743370848987072
5,0.5,0.6000000000000001,118,0.5308077881781349,0.423728813559322,0.10707897461881288,3.364546537951691e-05,2015,1,logreg,0.1743370848987072
6,0.6000000000000001,0.7000000000000001,7,0.6192494278683365,0.2857142857142857,0.3335351421540508,6.216987122855054e-06,2015,1,logreg,0.1743370848987072
7,0.7000000000000001,0.8,0,,,,0.0,2015,1,logreg,0.1743370848987072
8,0.8,0.9,0,,,,0.0,2015,1,logreg,0.1743370848987072
9,0.9,1.0,3,0.9879926668676068,0.0,0.9879926668676068,7.892512976151386e-06,2015,1,logreg,0.1743370848987072
0,0.0,0.1,52954,0.07010106669893112,0.10284397779204593,0.03274291109311481,0.005916487625358895,2016,2,logreg,0.1743370848987072
1,0.1,0.2,153781,0.15036490147565953,0.21008447077337253,0.05971956929771299,0.03133770934040682,2016,2,logreg,0.1743370848987072
2,0.2,0.30000000000000004,73243,0.2381127306144634,0.3351036959163333,0.09699096530186993,0.02424070836596587,2016,2,logreg,0.1743370848987072
3,0.30000000000000004,0.4,11716,0.3325103545283306,0.4487879822465005,0.11627762771816991,0.0046486133630866296,2016,2,logreg,0.1743370848987072
4,0.4,0.5,1153,0.4321271265069848,0.4891587163920208,0.05703158988503598,0.0002243844137401478,2016,2,logreg,0.1743370848987072
5,0.5,0.6000000000000001,150,0.5300560821767314,0.5466666666666666,0.016610584489935243,8.50205821219178e-06,2016,2,logreg,0.1743370848987072
6,0.6000000000000001,0.7000000000000001,25,0.6466804591361779,0.68,0.03331954086382216,2.8424112769719e-06,2016,2,logreg,0.1743370848987072
7,0.7000000000000001,0.8,11,0.7588173961869585,0.2727272727272727,0.48609012345968583,1.8245567783934675e-05,2016,2,logreg,0.1743370848987072
8,0.8,0.9,7,0.8590873274645501,0.0,0.8590873274645501,2.052027862242448e-05,2016,2,logreg,0.1743370848987072
9,0.9,1.0,17,0.980285244544504,0.47058823529411764,0.5096970092503864,2.9567112054162054e-05,2016,2,logreg,0.1743370848987072
