year,n_rows,default_rate,pred_positive_rate,auc,f1,time_gap,model,threshold
2015,375543,0.2018463930894731,0.4435710424638457,0.6556791189432426,0.39026000280548884,1,logreg,0.1743370848987072
2016,293057,0.23281818895300233,0.4227368737139874,0.6542006101015617,0.4193009395414205,2,logreg,0.1743370848987072
2017,169117,0.23127184138791487,0.3803461508896208,0.6630320138732491,0.42007057572388457,3,logreg,0.1743370848987072
2018,56160,0.15751424501424502,0.3212250712250712,0.6591251580459605,0.3337796622777654,4,logreg,0.1743370848987072
