year,n_rows,default_rate,train_default_rate,default_rate_shift_from_train,first_test_year_default_rate,default_rate_shift_from_first_test_year,mean_psi,median_psi,max_psi,num_features,num_features_psi_gt_0_10,num_features_psi_gt_0_25
2015,375543,0.2018463930894731,0.1564745862627979,0.045371806826675215,0.2018463930894731,0.0,0.047032326481041054,0.02868478180483596,0.10845630572721073,7,1,0
2016,293057,0.23281818895300233,0.1564745862627979,0.07634360269020443,0.2018463930894731,0.030971795863529217,0.04781375060254434,0.036685886502245156,0.10749264569148728,7,1,0
2017,169117,0.23127184138791487,0.1564745862627979,0.07479725512511698,0.2018463930894731,0.029425448298441764,0.05590629648304494,0.04909575786985412,0.13449340924242134,7,1,0
2018,56160,0.15751424501424502,0.1564745862627979,0.0010396587514471256,0.2018463930894731,-0.04433214807522809,0.07810202618216407,0.06930966115115475,0.13131710699867374,7,2,0
