n_rows,default_rate,mean_pred,brier_score,ece,abs_mean_prob_minus_default_rate,year,time_gap,model,threshold
375543,0.2018463930894731,0.1685134470462799,0.15443363861069187,0.033348283094713244,0.0333329460431932,2015,1,xgboost,0.16295350513544427
293057,0.23281818895300233,0.16386407613754272,0.17435697503047956,0.06900820061253038,0.0689541128154596,2016,2,xgboost,0.16295350513544427
169117,0.23127184138791487,0.15544572472572327,0.17393688978130445,0.07583138445815864,0.0758261166621916,2017,3,xgboost,0.16295350513544427
56160,0.15751424501424502,0.14610829949378967,0.12691820324189743,0.013603494024455431,0.011405945520455346,2018,4,xgboost,0.16295350513544427
