year,n_rows,default_rate,train_default_rate,default_rate_shift_from_train,first_test_year_default_rate,default_rate_shift_from_first_test_year
2015,375543,0.2018463930894731,0.1564745862627979,0.045371806826675215,0.2018463930894731,0.0
2016,293057,0.23281818895300233,0.1564745862627979,0.07634360269020443,0.2018463930894731,0.030971795863529217
2017,169117,0.23127184138791487,0.1564745862627979,0.07479725512511698,0.2018463930894731,0.029425448298441764
2018,56160,0.15751424501424502,0.1564745862627979,0.0010396587514471256,0.2018463930894731,-0.04433214807522809
