year,n_rows,default_rate,pred_positive_rate,auc,f1,time_gap
2015,375543,0.2018463930894731,0.5147772691808927,0.6585831822333769,0.3912411796836391,1
2016,293057,0.23281818895300233,0.4920066744694718,0.6574226089196771,0.42629757785467126,2
2017,169117,0.23127184138791487,0.44855928144420726,0.6674529705416163,0.4311522035991685,3
2018,56160,0.15751424501424502,0.3784722222222222,0.6628557317738819,0.3375303146074881,4
