model,year,n,auc,f1,accuracy,brier,ece,default_rate,mean_predicted_probability,predicted_positive_rate,threshold
gpt-4.1-nano,2015,10,0.3888888888888889,0.18181818181818182,0.1,0.11000000000000001,0.12000000000000002,0.1,0.22000000000000003,1.0,0.01
gpt-4.1-nano,2016,10,0.33333333333333337,0.5714285714285714,0.4,0.29700000000000004,0.24999999999999997,0.4,0.23000000000000004,1.0,0.01
gpt-4.1-nano,2017,10,0.6666666666666666,0.46153846153846156,0.3,0.20500000000000002,0.08999999999999997,0.3,0.21000000000000002,1.0,0.01
gpt-4.1-nano,2018,10,0.75,0.5714285714285714,0.4,0.23700000000000002,0.16999999999999996,0.4,0.23000000000000004,1.0,0.01
