n_rows,default_rate,mean_pred,brier_score,ece,abs_mean_prob_minus_default_rate,year,time_gap,model,threshold
375543,0.2018463930894731,0.16980087362660365,0.15753185689822172,0.03204551946286951,0.03204551946286946,2015,1,mlp,0.1569245504673814
293057,0.23281818895300233,0.16759597669006024,0.17751981144051357,0.06522221226294211,0.06522221226294209,2016,2,mlp,0.1569245504673814
169117,0.23127184138791487,0.16095723101506615,0.17662535364665263,0.07031461037284875,0.07031461037284872,2017,3,mlp,0.1569245504673814
56160,0.15751424501424502,0.15153376376878847,0.1292422649255459,0.00598048124545659,0.005980481245456554,2018,4,mlp,0.1569245504673814
