model,base_feature,importance,importance_abs,mean_importance,max_importance,n_transformed_features
xgboost,purpose,0.45482814,0.45482814,0.032487724,0.092351325,14
xgboost,emp_length,0.24996911,0.24996911,0.02083076,0.035865825,12
xgboost,home_ownership_n,0.09161566,0.09161566,0.022903915,0.027044334,4
xgboost,fico_n,0.08444049,0.08444049,0.08444049,0.08444049,1
xgboost,loan_amnt,0.04273146,0.04273146,0.04273146,0.04273146,1
xgboost,revenue,0.04184435,0.04184435,0.04184435,0.04184435,1
xgboost,dti_n,0.02756755,0.02756755,0.02756755,0.02756755,1
xgboost,experience_c,0.007003162,0.007003162,0.007003162,0.007003162,1
