feature,feature_type,max_psi,mean_psi
purpose,categorical,0.13449340924242134,0.12043986691494826
revenue,numeric,0.11300806988242841,0.05578075542412703
dti_n,numeric,0.09821459374230308,0.07867938815796043
fico_n,numeric,0.06930966115115475,0.04526763562330476
loan_amnt,numeric,0.06520223303191791,0.03304292604353931
emp_length,categorical,0.06356792536436615,0.045467640649111365
home_ownership_n,categorical,0.03471442054540533,0.021816986747399028
