year,n_rows,default_rate,pred_positive_rate,auc,f1,time_gap,model,threshold
2015,375543,0.2018463930894731,0.5856692842097976,0.6216685416465537,0.369147849844123,1,mlp,0.15692455046738227
2016,293057,0.23281818895300233,0.5718614467492672,0.6190507758705758,0.40423718391803815,2,mlp,0.15692455046738227
2017,169117,0.23127184138791487,0.5302187243151191,0.6290790285305278,0.4065972464882242,3,mlp,0.15692455046738227
2018,56160,0.15751424501424502,0.4652599715099715,0.626420798503857,0.3111365260900643,4,mlp,0.15692455046738227
