model,n_years,total_rows,mean_auc,mean_f1,mean_accuracy,mean_brier_score,mean_ece,mean_pred_positive_rate
logreg,4,2000,0.6562090987887632,0.3576845852844955,0.6865,0.15899865322581697,0.05295690356036834,0.281
xgboost,4,2000,0.6527849791668199,0.35337157398497765,0.6900000000000001,0.15983857269044227,0.054480747882276775,0.2725
mlp,4,2000,0.6145113641105986,0.36782047874415597,0.5845,0.16257847265931144,0.04915984587013362,0.453
gpt-4.1-nano,4,2000,0.5491048898178679,0.3430908383561432,0.20850000000000002,0.16636,0.047949999999999986,1.0
