model,threshold,f1,pred_positive_rate,pred_positives
logreg,0.1743370848987072,0.3628972230174635,0.44176654624342226,98559.0
mlp,0.1569245504673814,0.3422338000651254,0.586346155570098,130815.0
xgboost,0.16295350513544427,0.36430195420343203,0.4779114485750912,106623.0
